Region,Wheat bran,Wheat short,Wheat grain screening,Maize bran,Maize short/germ,Maize grain screening,Rice bran,Oat bran,Noug seed cake,Linseed cake,Groundnut cake,Sunflower seed cake,Soybean meal,Cotton seed cake,Sesame seed cake,Mixed cake,Brewery spent grains,Meat and bone meal,Molasses,Bagasse,Malt Germ_Rootlet,Malt Dust,Malt Broken_third _thin barley or malt dust,Malt Floater,Bean hull,Bean hull with fine grain_Duka,Pea hull,Pea hull with fine grain_Duka,Lentil hull,Lentil hull with fine grain_Shana,Barley hull,Peanut hull
SNNPR,168023,14157,14585,2770,,428,,,1564,,,,,,,,6983,,92435,1151014,,,,,,,,,,,,
Oromia,369562,36005,46417.4,7307,1986,379,3226,,24105,9023,1631,7632,129169,24562,,1361,4966,1882.3,131460,874056,368,919,3209.5,103,37.7,15.7,215,15.5,43,11.6,41.1,30.6
Harari,5307,1928,644.8,,132,43,,,,,9774,,,,,,606,,,,,,,,,,,,,,,
Dire Dawa,18891,4225,1237.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addis Ababa,98018,8180,8919.5,,,175,,,8015,,124,,,13592,,,5860,152245.5,,,9337.2,5390.5,1077.3,5103.9,,,,,,,,
Amhara,60664,,,,,,4754,1897,,,,,,,,,14031,,,,,,,,123.2,,494.3,,,,,
Benishangul Gumuz,6878,1721,,,,,,,3103,,,,,,,,,,,,,,,,,,,,,,,
Gambella,3912,215,172.7,1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tigray,25029,2194,3875,639,,,,,205,,,,,28722,7351,,3248,,,,,,,,,,,,,,,
Afar,,,,,,,,,,,,,,,,,,,30277,283522,,,,,,,,,,,,